,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.8333333333333334,1.0,0.9090909090909091,2100.0,ELECTRA,hn_balanceado,2532.8836421966553
1,0.0,0.0,0.0,420.0,ELECTRA,hn_balanceado,2532.8836421966553
accuracy,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,ELECTRA,hn_balanceado,2532.8836421966553
macro avg,0.4166666666666667,0.5,0.45454545454545453,2520.0,ELECTRA,hn_balanceado,2532.8836421966553
weighted avg,0.6944444444444444,0.8333333333333334,0.7575757575757576,2520.0,ELECTRA,hn_balanceado,2532.8836421966553
