,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.8336678374310086,1.0,0.9092899165412505,3323.0,BoW,hn_desbalanceado,49.866339445114136
1,1.0,0.0015060240963855422,0.0030075187969924814,664.0,BoW,hn_desbalanceado,49.866339445114136
accuracy,0.8337095560571859,0.8337095560571859,0.8337095560571859,0.8337095560571859,BoW,hn_desbalanceado,49.866339445114136
macro avg,0.9168339187155043,0.5007530120481928,0.45614871766912146,3987.0,BoW,hn_desbalanceado,49.866339445114136
weighted avg,0.8613690052127518,0.8337095560571859,0.7583565049279604,3987.0,BoW,hn_desbalanceado,49.866339445114136
