,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.9593373493975904,0.9584712609088173,0.9589041095890412,3323.0,Cos_05,hn_desbalanceado,0.6210019588470459
1,0.7931034482758621,0.7966867469879518,0.7948910593538694,664.0,Cos_05,hn_desbalanceado,0.6210019588470459
accuracy,0.9315274642588413,0.9315274642588413,0.9315274642588413,0.9315274642588413,Cos_05,hn_desbalanceado,0.6210019588470459
macro avg,0.8762203988367263,0.8775790039483846,0.8768975844714553,3987.0,Cos_05,hn_desbalanceado,0.6210019588470459
weighted avg,0.9316525462009946,0.9315274642588413,0.9315891696953481,3987.0,Cos_05,hn_desbalanceado,0.6210019588470459
