,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.948905109489051,0.9904761904761905,0.9692451071761417,2100.0,Cos_05,sn_balanceado,0.42703914642333984
1,0.9390243902439024,0.7333333333333333,0.8235294117647057,420.0,Cos_05,sn_balanceado,0.42703914642333984
accuracy,0.9476190476190476,0.9476190476190476,0.9476190476190476,0.9476190476190476,Cos_05,sn_balanceado,0.42703914642333984
macro avg,0.9439647498664767,0.861904761904762,0.8963872594704236,2520.0,Cos_05,sn_balanceado,0.42703914642333984
weighted avg,0.947258322948193,0.9476190476190476,0.9449591579409025,2520.0,Cos_05,sn_balanceado,0.42703914642333984
