,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.9549718574108818,0.9695238095238096,0.9621928166351607,2100.0,Cos_05,hn_balanceado,0.38199901580810547
1,0.8350515463917526,0.7714285714285715,0.801980198019802,420.0,Cos_05,hn_balanceado,0.38199901580810547
accuracy,0.9365079365079365,0.9365079365079365,0.9365079365079365,0.9365079365079365,Cos_05,hn_balanceado,0.38199901580810547
macro avg,0.8950117019013172,0.8704761904761905,0.8820865073274813,2520.0,Cos_05,hn_balanceado,0.38199901580810547
weighted avg,0.9349851389076936,0.9365079365079365,0.9354907135326008,2520.0,Cos_05,hn_balanceado,0.38199901580810547
