,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.9609670841829304,0.9927776105928378,0.9766133806986382,3323.0,Cos_05,sn_desbalanceado,0.6540324687957764
1,0.9566787003610109,0.7981927710843374,0.8702791461412152,664.0,Cos_05,sn_desbalanceado,0.6540324687957764
accuracy,0.9603712064208678,0.9603712064208678,0.9603712064208678,0.9603712064208678,Cos_05,sn_desbalanceado,0.6540324687957764
macro avg,0.9588228922719706,0.8954851908385876,0.9234462634199267,3987.0,Cos_05,sn_desbalanceado,0.6540324687957764
weighted avg,0.9602528913417581,0.9603712064208678,0.9589043433908557,3987.0,Cos_05,sn_desbalanceado,0.6540324687957764
