,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.8334587409079508,1.0,0.9091655266757865,3323.0,XLMR,hn_desbalanceado,5102.013849496841
1,0.0,0.0,0.0,664.0,XLMR,hn_desbalanceado,5102.013849496841
accuracy,0.8334587409079508,0.8334587409079508,0.8334587409079508,0.8334587409079508,XLMR,hn_desbalanceado,5102.013849496841
macro avg,0.4167293704539754,0.5,0.45458276333789327,3987.0,XLMR,hn_desbalanceado,5102.013849496841
weighted avg,0.6946534727958668,0.8334587409079508,0.7577519551401151,3987.0,XLMR,hn_desbalanceado,5102.013849496841
