,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.9199469261388766,0.9904761904761905,0.9539096537491402,2100.0,Cos_06,hn_balanceado,0.3592526912689209
1,0.9227799227799228,0.569047619047619,0.703976435935199,420.0,Cos_06,hn_balanceado,0.3592526912689209
accuracy,0.9202380952380952,0.9202380952380952,0.9202380952380952,0.9202380952380952,Cos_06,hn_balanceado,0.3592526912689209
macro avg,0.9213634244593998,0.7797619047619048,0.8289430448421695,2520.0,Cos_06,hn_balanceado,0.3592526912689209
weighted avg,0.9204190922457177,0.9202380952380952,0.9122541174468165,2520.0,Cos_06,hn_balanceado,0.3592526912689209
