,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.9218576195773082,0.9975925368642793,0.9582309582309583,3323.0,Cos_06,sn_desbalanceado,0.66796875
1,0.979539641943734,0.5768072289156626,0.7260663507109004,664.0,Cos_06,sn_desbalanceado,0.66796875
accuracy,0.927514421871081,0.927514421871081,0.927514421871081,0.927514421871081,Cos_06,sn_desbalanceado,0.66796875
macro avg,0.9506986307605211,0.7871998828899709,0.8421486544709293,3987.0,Cos_06,sn_desbalanceado,0.66796875
weighted avg,0.9314640562091885,0.927514421871081,0.9195659721779564,3987.0,Cos_06,sn_desbalanceado,0.66796875
