,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.9104737070838765,0.9976190476190476,0.952056350829357,2100.0,Cos_06,sn_balanceado,0.38001322746276855
1,0.9771689497716894,0.5095238095238095,0.6697965571205007,420.0,Cos_06,sn_balanceado,0.38001322746276855
accuracy,0.9162698412698412,0.9162698412698412,0.9162698412698412,0.9162698412698412,Cos_06,sn_balanceado,0.38001322746276855
macro avg,0.943821328427783,0.7535714285714286,0.8109264539749288,2520.0,Cos_06,sn_balanceado,0.38001322746276855
weighted avg,0.9215895808651787,0.9162698412698412,0.905013051877881,2520.0,Cos_06,sn_balanceado,0.38001322746276855
