,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.9249504389691305,0.9828468251579898,0.953020134228188,3323.0,Cos_06,hn_desbalanceado,0.5980370044708252
1,0.875,0.6009036144578314,0.7125,664.0,Cos_06,hn_desbalanceado,0.5980370044708252
accuracy,0.9192375219463256,0.9192375219463256,0.9192375219463256,0.9192375219463256,Cos_06,hn_desbalanceado,0.5980370044708252
macro avg,0.8999752194845653,0.7918752198079106,0.832760067114094,3987.0,Cos_06,hn_desbalanceado,0.5980370044708252
weighted avg,0.916631629971011,0.9192375219463256,0.9129636082368369,3987.0,Cos_06,hn_desbalanceado,0.5980370044708252
