,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.8519269776876268,1.0,0.9200438116100766,2100.0,Cos_09,sn_balanceado,0.3809807300567627
1,1.0,0.13095238095238096,0.23157894736842108,420.0,Cos_09,sn_balanceado,0.3809807300567627
accuracy,0.8551587301587301,0.8551587301587301,0.8551587301587301,0.8551587301587301,Cos_09,sn_balanceado,0.3809807300567627
macro avg,0.9259634888438134,0.5654761904761905,0.5758113794892489,2520.0,Cos_09,sn_balanceado,0.3809807300567627
weighted avg,0.8766058147396889,0.8551587301587301,0.8052996675698008,2520.0,Cos_09,sn_balanceado,0.3809807300567627
