,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.8477040816326531,1.0,0.9175755902250449,3323.0,Cos_09,sn_desbalanceado,0.6662619113922119
1,1.0,0.10090361445783133,0.1833105335157319,664.0,Cos_09,sn_desbalanceado,0.6662619113922119
accuracy,0.8502633559066968,0.8502633559066968,0.8502633559066968,0.8502633559066968,Cos_09,sn_desbalanceado,0.6662619113922119
macro avg,0.9238520408163265,0.5504518072289156,0.5504430618703884,3987.0,Cos_09,sn_desbalanceado,0.6662619113922119
weighted avg,0.873067635632131,0.8502633559066968,0.7952901631733811,3987.0,Cos_09,sn_desbalanceado,0.6662619113922119
