,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.8538273615635179,0.9985714285714286,0.9205443371378402,2100.0,Cos_09,hn_balanceado,0.38129472732543945
1,0.953125,0.14523809523809525,0.2520661157024794,420.0,Cos_09,hn_balanceado,0.38129472732543945
accuracy,0.8563492063492063,0.8563492063492063,0.8563492063492063,0.8563492063492063,Cos_09,hn_balanceado,0.38129472732543945
macro avg,0.903476180781759,0.5719047619047619,0.5863052264201598,2520.0,Cos_09,hn_balanceado,0.38129472732543945
weighted avg,0.8703769679695983,0.8563492063492063,0.8091313002319467,2520.0,Cos_09,hn_balanceado,0.38129472732543945
