,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.8479816044966786,0.9987962684321396,0.9172308967804339,3323.0,Cos_09,hn_desbalanceado,0.6339969635009766
1,0.9452054794520548,0.10391566265060241,0.18724559023066487,664.0,Cos_09,hn_desbalanceado,0.6339969635009766
accuracy,0.8497617256082267,0.8497617256082267,0.8497617256082267,0.8497617256082267,Cos_09,hn_desbalanceado,0.6339969635009766
macro avg,0.8965935419743667,0.551355965541371,0.5522382435055494,3987.0,Cos_09,hn_desbalanceado,0.6339969635009766
weighted avg,0.8641733910455549,0.8497617256082267,0.7956582247089399,3987.0,Cos_09,hn_desbalanceado,0.6339969635009766
