,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.8641975308641975,1.0,0.9271523178807948,2100.0,Cos_08,sn_balanceado,0.3789997100830078
1,1.0,0.21428571428571427,0.35294117647058826,420.0,Cos_08,sn_balanceado,0.3789997100830078
accuracy,0.8690476190476191,0.8690476190476191,0.8690476190476191,0.8690476190476191,Cos_08,sn_balanceado,0.3789997100830078
macro avg,0.9320987654320987,0.6071428571428571,0.6400467471756915,2520.0,Cos_08,sn_balanceado,0.3789997100830078
weighted avg,0.8868312757201646,0.8690476190476191,0.8314504609790938,2520.0,Cos_08,sn_balanceado,0.3789997100830078
