,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.8640145605824233,1.0,0.9270470079508998,3323.0,Cos_08,sn_desbalanceado,0.6325676441192627
1,1.0,0.21234939759036145,0.3503105590062112,664.0,Cos_08,sn_desbalanceado,0.6325676441192627
accuracy,0.8688236769500878,0.8688236769500878,0.8688236769500878,0.8688236769500878,Cos_08,sn_desbalanceado,0.6325676441192627
macro avg,0.9320072802912116,0.6061746987951807,0.6386787834785554,3987.0,Cos_08,sn_desbalanceado,0.6325676441192627
weighted avg,0.8866617468812121,0.8688236769500878,0.830996593579374,3987.0,Cos_08,sn_desbalanceado,0.6325676441192627
