,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.8683229813664596,0.9985714285714286,0.9289036544850497,2100.0,Cos_08,hn_balanceado,0.3670492172241211
1,0.9714285714285714,0.24285714285714285,0.3885714285714286,420.0,Cos_08,hn_balanceado,0.3670492172241211
accuracy,0.8726190476190476,0.8726190476190476,0.8726190476190476,0.8726190476190476,Cos_08,hn_balanceado,0.3670492172241211
macro avg,0.9198757763975155,0.6207142857142857,0.6587375415282392,2520.0,Cos_08,hn_balanceado,0.3670492172241211
weighted avg,0.8855072463768116,0.8726190476190476,0.8388482834994462,2520.0,Cos_08,hn_balanceado,0.3670492172241211
