,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.86530931871574,0.9975925368642793,0.9267542633491753,3323.0,Cos_08,hn_desbalanceado,0.5960919857025146
1,0.9487179487179487,0.22289156626506024,0.3609756097560976,664.0,Cos_08,hn_desbalanceado,0.5960919857025146
accuracy,0.8685728618008528,0.8685728618008528,0.8685728618008528,0.8685728618008528,Cos_08,hn_desbalanceado,0.5960919857025146
macro avg,0.9070136337168444,0.6102420515646698,0.6438649365526364,3987.0,Cos_08,hn_desbalanceado,0.5960919857025146
weighted avg,0.8792002969754507,0.8685728618008528,0.8325287740123798,3987.0,Cos_08,hn_desbalanceado,0.5960919857025146
