,titulo_1,titulo_2,url_1,url_2
149,"Notebook Gamer Acer Nitro 5 Ryzen 7 4800H, GeForce gtx 1650, 8GB ram Preto","Notebook Nitro 5 AN515-44-R4KA, AMD R7 4800H, 8GB, 512GB SDD, (GTX 1650 com 4 GB) Windows11. 15,6” LED FHD IPS",https://www.americanas.com.br/produto/4897551359,https://www.amazon.com.br/Notebook-Nitro-AN515-44-R4KA-4800H-Windows11/dp/B09ZQ943YL
273,"Notebook Positivo Motion Gold C41TEI Intel Celeron-N3350 4GB 1TB Linux 14,1'' Dourado","Notebook Positivo Motion C41TEi Intel® Celeron® Dual-Core™ Linux 14"" - Dourado",https://www.americanas.com.br/produto/3549100172,https://www.amazon.com.br/Notebook-Positivo-Motion-Celeron%C2%AE-Dual-CoreTM/dp/B092QKNLRF
377,Notebook Ultra Windows 10 Home Processador Intel Pentium,"Notebook Ultra Intel Pentium, Tela 14 hd, 4GB ram, 120GB ssd UB320",https://www.americanas.com.br/produto/3219259498,https://www.americanas.com.br/produto/4764607697
159,"Notebook Samsung Book E20 Intel Celeron 4GB 500GB W10 15,6"" - Prata","Samsung Book E20 Intel® Dual-Core, Windows 10 Home, 4GB, 500GB, 15.6'' HD LED",https://www.americanas.com.br/produto/1772549239,https://www.amazon.com.br/Samsung-Intel%C2%AE-Dual-Core-Windows-500GB/dp/B08BB91X67
235,Notebook Positivo Intel Quad Core 4gb 128gb 14.1 Windows 10,Notebook Positivo Motion Q4128C Intel Atom Quad-Core Windows 10 Home 14.1 - Cinza – Inclui Microsoft 365*,https://www.americanas.com.br/produto/4279863654,https://www.americanas.com.br/produto/3775058726
108,Notebook Aspire 3 I5 4GB 256GB ssd Linux - Acer,"Notebook Acer Aspire 3 A315-56-569F, 15,6 Intel Core i5-1035G1, 4GB, 256GB ssd - Endless os",https://www.americanas.com.br/produto/2575193683,https://www.americanas.com.br/produto/3018487988
119,"Notebook Acer Aspire 3 A315-56-569F, 15,6 Intel Core i5-1035G1, 4GB, 256GB ssd - Endless os","Notebook Acer 15,6 - A315-56-569F/ I5-1035G1 - Linux Endless",https://www.americanas.com.br/produto/3018487988,https://www.americanas.com.br/produto/2800997152
234,"Notebook Positivo Motion Q4128C Intel Atom Quad-Core, Memória ram 4GB, Windows 10 Home, Tela de 14.1 Led hd, ssd 128G",Notebook Positivo Motion Q4128C Intel Atom Quad-Core Windows 10 Home 14.1 - Cinza – Inclui Microsoft 365*,https://www.americanas.com.br/produto/3161374214,https://www.americanas.com.br/produto/3775058726
126,Notebook Acer Aspire 5 Intel Core i5-1035G1 4GB 256GB SSD W10 14'' A514-53-5239 - Cinza,Notebook Acer Aspire 5 A514 Intel Core I5 1035G1 Memória 8gb Hd 1tb Ssd 256gb Tela 14'' HD Windows 10 Home,https://www.americanas.com.br/produto/3846350522,https://www.americanas.com.br/produto/4284493491
70,Notebook lenovo cel IDEAPAD3 4GB 128GB ssd 82BU 15IGL,"Notebook lenovo ideapad 3i 15,6 HD celeron N4020 4GB 128GB ssd linux",https://www.americanas.com.br/produto/4709448072,https://www.americanas.com.br/produto/4820059770
152,"Notebook Acer 15,6 Fhd A515-45-r2a3/ R5-5500u/ 8gb/ 512gb Ssd/ W11 Home","Notebook Acer Aspire 5 A515-45-R2A3 AMD Ryzen 5 Windows 11 Home 8GB 512GB SSD 15,6' Full HD",https://www.americanas.com.br/produto/4746309215,https://www.amazon.com.br/Notebook-Aspire-A515-45-R2A3-Ryzen-Windows/dp/B09PGPWP2K
268,"Notebook Positivo Motion Q464C-O Intel® Atom® Quad Core™ Windows 10 Home 14,1'' - Dourado - Inclui Microsoft 365*","Notebook Positivo Motion Q464C-O Intel Atom Quad Core Windows 10 Home 14,1'' - Dourado - Inclui Microsoft 365*",https://www.amazon.com.br/Notebook-Positivo-Motion-Q464C-Windows/dp/B09ML37Y3S,https://www.americanas.com.br/produto/4382566295
269,"Notebook Positivo Motion Gray Q464C-O Intel® Atom® Quad Core™ Windows 10 Home 14,1'' - Cinza - Inclui Microsoft 365*",Notebook Positivo Motion Q464CO Intel Quad Core 4GB 64GB eMMC 14pol Windows 10 e Office 365 Personal 1 Ano,https://www.amazon.com.br/Notebook-Positivo-Motion-Q464C-Windows/dp/B09MDL41BQ,https://www.americanas.com.br/produto/4418296945
363,"Notebook Dell Inspiron i15-i1100-M70P 15.6"" Full HD 11ª Geração Intel Core i7 8GB 256GB SSD NVIDIA GeForce Windows 11",Notebook Dell Inspiron i15-i1100-M70P 15.6 Full HD 11ª Geração Intel Core i7 8GB 256GB ssd nvidia GeForce Windows 11,https://www.amazon.com.br/Notebook-Dell-Inspiron-i15-i1100-M70P-Gera%C3%A7%C3%A3o/dp/B09V8GQ31G,https://www.americanas.com.br/produto/4824790130
312,"Notebook ASUS X515MA-BR623X Intel Celeron Dual Core N4020 4GB 128GB SSD W11 15,60"" LED-backlit Cinza","Notebook asus X515MA-BR623X Intel Celeron Dual Core N4020 4GB 128GB ssd W11 15,60 LED-backlit Cinza",https://www.amazon.com.br/Notebook-ASUS-X515MA-BR623X-Celeron-LED-backlit/dp/B09NRVXR4J,https://www.americanas.com.br/produto/4514912066
