,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.993127147766323,0.9633333333333334,0.9780033840947546,2100.0,Cos_03,sn_balanceado,0.3830428123474121
1,0.8405797101449275,0.9666666666666667,0.8992248062015503,420.0,Cos_03,sn_balanceado,0.3830428123474121
accuracy,0.9638888888888889,0.9638888888888889,0.9638888888888889,0.9638888888888889,Cos_03,sn_balanceado,0.3830428123474121
macro avg,0.9168534289556253,0.9650000000000001,0.9386140951481525,2520.0,Cos_03,sn_balanceado,0.3830428123474121
weighted avg,0.9677025748294238,0.9638888888888889,0.9648736211125539,2520.0,Cos_03,sn_balanceado,0.3830428123474121
