,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.9943995021779714,0.9617815227204334,0.9778185712100352,3323.0,Cos_03,sn_desbalanceado,0.6369838714599609
1,0.8357050452781372,0.9728915662650602,0.8990953375086986,664.0,Cos_03,sn_desbalanceado,0.6369838714599609
accuracy,0.963631803360923,0.963631803360923,0.963631803360923,0.963631803360923,Cos_03,sn_desbalanceado,0.6369838714599609
macro avg,0.9150522737280542,0.9673365444927469,0.9384569543593669,3987.0,Cos_03,sn_desbalanceado,0.6369838714599609
weighted avg,0.967970327514944,0.963631803360923,0.964707904749617,3987.0,Cos_03,sn_desbalanceado,0.6369838714599609
