,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.9958893871449925,0.8019861570869696,0.8884814135689283,3323.0,Cos_03,hn_desbalanceado,0.595128059387207
1,0.498093058733791,0.983433734939759,0.6612658227848102,664.0,Cos_03,hn_desbalanceado,0.595128059387207
accuracy,0.8322046651617758,0.8322046651617758,0.8322046651617758,0.8322046651617758,Cos_03,hn_desbalanceado,0.595128059387207
macro avg,0.7469912229393918,0.8927099460133643,0.7748736181768692,3987.0,Cos_03,hn_desbalanceado,0.595128059387207
weighted avg,0.9129857598399918,0.8322046651617758,0.8506406429943975,3987.0,Cos_03,hn_desbalanceado,0.595128059387207
