,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.9824686940966011,0.826361721336142,0.8976789800588427,3323.0,BoW_svc,hn_desbalanceado,1012.7036421298981
1,0.5159395973154363,0.9262048192771084,0.6627155172413792,664.0,BoW_svc,hn_desbalanceado,1012.7036421298981
accuracy,0.8429897165788813,0.8429897165788813,0.8429897165788813,0.8429897165788813,BoW_svc,hn_desbalanceado,1012.7036421298981
macro avg,0.7492041457060187,0.8762832703066252,0.780197248650111,3987.0,BoW_svc,hn_desbalanceado,1012.7036421298981
weighted avg,0.9047723509155894,0.8429897165788813,0.8585478691205944,3987.0,BoW_svc,hn_desbalanceado,1012.7036421298981
