,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.9960975609756098,0.9217574480890761,0.957486714598312,3323.0,BoW_svc,sn_desbalanceado,918.9541358947754
1,0.7149122807017544,0.9819277108433735,0.8274111675126903,664.0,BoW_svc,sn_desbalanceado,918.9541358947754
accuracy,0.9317782794080762,0.9317782794080762,0.9317782794080762,0.9317782794080762,BoW_svc,sn_desbalanceado,918.9541358947754
macro avg,0.855504920838682,0.9518425794662249,0.8924489410555012,3987.0,BoW_svc,sn_desbalanceado,918.9541358947754
weighted avg,0.9492686103606511,0.9317782794080762,0.9358237692095854,3987.0,BoW_svc,sn_desbalanceado,918.9541358947754
