,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.9947943779281624,0.91,0.9505098234270083,2100.0,BoW_svc,sn_balanceado,414.6859624385834
1,0.6844741235392321,0.9761904761904762,0.8047105004906772,420.0,BoW_svc,sn_balanceado,414.6859624385834
accuracy,0.921031746031746,0.921031746031746,0.921031746031746,0.921031746031746,BoW_svc,sn_balanceado,414.6859624385834
macro avg,0.8396342507336972,0.9430952380952381,0.8776101619588428,2520.0,BoW_svc,sn_balanceado,414.6859624385834
weighted avg,0.9430743355300072,0.921031746031746,0.9262099362709532,2520.0,BoW_svc,sn_balanceado,414.6859624385834
