,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.9804761904761905,0.9804761904761905,0.9804761904761905,2100.0,Cos_04,sn_balanceado,0.38003015518188477
1,0.9023809523809524,0.9023809523809524,0.9023809523809524,420.0,Cos_04,sn_balanceado,0.38003015518188477
accuracy,0.9674603174603175,0.9674603174603175,0.9674603174603175,0.9674603174603175,Cos_04,sn_balanceado,0.38003015518188477
macro avg,0.9414285714285715,0.9414285714285715,0.9414285714285715,2520.0,Cos_04,sn_balanceado,0.38003015518188477
weighted avg,0.9674603174603175,0.9674603174603175,0.9674603174603175,2520.0,Cos_04,sn_balanceado,0.38003015518188477
