,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.9818181818181818,0.9257142857142857,0.9529411764705882,2100.0,Cos_04,hn_balanceado,0.3580434322357178
1,0.7111111111111111,0.9142857142857143,0.8,420.0,Cos_04,hn_balanceado,0.3580434322357178
accuracy,0.9238095238095239,0.9238095238095239,0.9238095238095239,0.9238095238095239,Cos_04,hn_balanceado,0.3580434322357178
macro avg,0.8464646464646465,0.9199999999999999,0.8764705882352941,2520.0,Cos_04,hn_balanceado,0.3580434322357178
weighted avg,0.9367003367003367,0.9238095238095239,0.9274509803921568,2520.0,Cos_04,hn_balanceado,0.3580434322357178
