,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.9840745192307693,0.9855552211856756,0.9848143136370471,3323.0,Cos_04,sn_desbalanceado,0.6375422477722168
1,0.9271623672230652,0.9201807228915663,0.9236583522297808,664.0,Cos_04,sn_desbalanceado,0.6375422477722168
accuracy,0.9746676699272636,0.9746676699272636,0.9746676699272636,0.9746676699272636,Cos_04,sn_desbalanceado,0.6375422477722168
macro avg,0.9556184432269172,0.952867972038621,0.9542363329334139,3987.0,Cos_04,sn_desbalanceado,0.6375422477722168
weighted avg,0.9745962977777681,0.9746676699272636,0.9746293228232962,3987.0,Cos_04,sn_desbalanceado,0.6375422477722168
