,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.9846905537459283,0.9097201324104724,0.9457218833098702,3323.0,Cos_04,hn_desbalanceado,0.6469967365264893
1,0.6728462377317339,0.9292168674698795,0.7805186590765338,664.0,Cos_04,hn_desbalanceado,0.6469967365264893
accuracy,0.9129671432154502,0.9129671432154502,0.9129671432154502,0.9129671432154502,Cos_04,hn_desbalanceado,0.6469967365264893
macro avg,0.8287683957388311,0.919468499940176,0.863120271193202,3987.0,Cos_04,hn_desbalanceado,0.6469967365264893
weighted avg,0.9327556087162255,0.9129671432154502,0.9182087303399843,3987.0,Cos_04,hn_desbalanceado,0.6469967365264893
