,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.8816120906801007,1.0,0.9370816599732261,2100.0,Cos_07,sn_balanceado,0.3810441493988037
1,1.0,0.32857142857142857,0.4946236559139785,420.0,Cos_07,sn_balanceado,0.3810441493988037
accuracy,0.888095238095238,0.888095238095238,0.888095238095238,0.888095238095238,Cos_07,sn_balanceado,0.3810441493988037
macro avg,0.9408060453400504,0.6642857142857143,0.7158526579436023,2520.0,Cos_07,sn_balanceado,0.3810441493988037
weighted avg,0.9013434089000839,0.888095238095238,0.8633386592966849,2520.0,Cos_07,sn_balanceado,0.3810441493988037
