,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.8911051212938005,0.9948841408365935,0.9401393430968292,3323.0,Cos_07,hn_desbalanceado,0.6160001754760742
1,0.9386281588447654,0.39156626506024095,0.5526036131774708,664.0,Cos_07,hn_desbalanceado,0.6160001754760742
accuracy,0.8944068221720592,0.8944068221720592,0.8944068221720592,0.8944068221720592,Cos_07,hn_desbalanceado,0.6160001754760742
macro avg,0.9148666400692829,0.6932252029484172,0.74637147813715,3987.0,Cos_07,hn_desbalanceado,0.6160001754760742
weighted avg,0.899019667803417,0.8944068221720592,0.875598654692903,3987.0,Cos_07,hn_desbalanceado,0.6160001754760742
