,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.8898418654516216,0.9990972013241047,0.9413098950949816,3323.0,Cos_07,sn_desbalanceado,0.6598954200744629
1,0.98828125,0.3810240963855422,0.55,664.0,Cos_07,sn_desbalanceado,0.6598954200744629
accuracy,0.8961625282167043,0.8961625282167043,0.8961625282167043,0.8961625282167043,Cos_07,sn_desbalanceado,0.6598954200744629
macro avg,0.9390615577258108,0.6900606488548234,0.7456549475474908,3987.0,Cos_07,sn_desbalanceado,0.6598954200744629
weighted avg,0.9062360844985549,0.8961625282167043,0.8761406524706858,3987.0,Cos_07,sn_desbalanceado,0.6598954200744629
