,precision,recall,f1-score,support,modelo,dataset,tempo
0,0.8893129770992366,0.9985714285714286,0.9407806191117093,2100.0,Cos_07,hn_balanceado,0.3817300796508789
1,0.9814814814814815,0.37857142857142856,0.5463917525773195,420.0,Cos_07,hn_balanceado,0.3817300796508789
accuracy,0.8952380952380953,0.8952380952380953,0.8952380952380953,0.8952380952380953,Cos_07,hn_balanceado,0.3817300796508789
macro avg,0.9353972292903591,0.6885714285714286,0.7435861858445144,2520.0,Cos_07,hn_balanceado,0.3817300796508789
weighted avg,0.9046743944962775,0.8952380952380953,0.8750491413559777,2520.0,Cos_07,hn_balanceado,0.3817300796508789
